visit_date,attendance,Cardio,Flexibility,Strength,day_of_week,month,week_of_year,day_of_month,is_weekend,is_holiday,is_promotion_day,is_special_day,sin_dow,cos_dow,sin_month,cos_month,trend,lag_1,lag_2,lag_3,lag_7,lag_14,lag_21,lag_28,rolling_mean_3,rolling_std_3,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,rolling_mean_21,rolling_std_21,cardio_lag_1,cardio_lag_7,strength_lag_1,strength_lag_7,flexibility_lag_1,flexibility_lag_7
2023-01-29,443,167,82,194,6,1,4,29,1,0,0,0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,28,462.0,354.0,344.0,461.0,578.0,432.0,65.0,419.6666666666667,57.657031950433755,375.0,54.20947026734956,376.2142857142857,51.438056207186,375.85714285714283,67.56943518654404,172.0,158.0,193.0,206.0,97.0,97.0
2023-01-30,324,125,59,140,0,1,5,30,0,0,0,0,0.0,1.0,0.49999999999999994,0.8660254037844387,29,443.0,462.0,354.0,327.0,356.0,320.0,342.0,409.6666666666667,74.7952761431719,374.57142857142856,54.662165900670004,373.92857142857144,53.08985747798695,376.04761904761904,67.40955139331238,167.0,123.0,194.0,155.0,82.0,49.0
2023-01-31,340,133,46,161,1,1,5,31,0,0,0,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,30,324.0,443.0,462.0,337.0,331.0,331.0,352.0,369.0,64.58327956987016,375.0,54.32924319983352,374.57142857142856,52.582117881263784,376.4761904761905,67.13688929911714,125.0,120.0,140.0,153.0,59.0,64.0
2023-02-01,295,89,62,144,2,2,5,1,0,0,0,0,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,31,340.0,324.0,443.0,358.0,343.0,317.0,324.0,319.6666666666667,22.810816147901,366.0,62.25485255517566,371.14285714285717,56.236939875791656,375.42857142857144,68.27339996555868,133.0,129.0,161.0,164.0,46.0,65.0
2023-02-02,294,112,52,130,3,2,5,2,0,0,0,0,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,32,295.0,340.0,324.0,344.0,363.0,314.0,310.0,309.6666666666667,26.274195198584888,358.85714285714283,67.81943814627328,366.2142857142857,59.909134492199044,374.4761904761905,69.30484762815593,89.0,134.0,144.0,148.0,62.0,62.0
2023-02-03,352,128,62,162,4,2,5,3,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,33,294.0,295.0,340.0,354.0,343.0,341.0,333.0,313.6666666666667,33.201405592735696,358.57142857142856,67.84751811441383,366.85714285714283,59.68875315121979,375.0,69.0803879549037,112.0,144.0,130.0,160.0,52.0,50.0
2023-02-04,388,178,62,148,5,2,5,4,1,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,34,352.0,294.0,295.0,462.0,445.0,425.0,447.0,344.6666666666667,47.42713709821984,348.0,53.23845727792398,362.7857142857143,55.763482083402316,373.23809523809524,68.2077010035559,128.0,172.0,162.0,193.0,62.0,97.0
2023-02-05,396,159,75,162,6,2,5,5,1,0,0,0,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,35,388.0,352.0,294.0,443.0,461.0,578.0,432.0,378.6666666666667,23.43786110832939,341.2857142857143,40.762377611854724,358.14285714285717,49.287004283165636,364.57142857142856,50.02956268904565,178.0,167.0,148.0,194.0,62.0,82.0
2023-02-06,276,96,43,137,0,2,6,6,0,0,0,0,0.0,1.0,0.8660254037844386,0.5000000000000001,36,396.0,388.0,352.0,324.0,327.0,356.0,320.0,353.3333333333333,67.0919766688487,334.42857142857144,47.61602371351186,354.5,53.47285436411778,360.76190476190476,53.631058876275056,159.0,125.0,162.0,140.0,75.0,59.0
2023-02-07,282,105,42,135,1,2,6,7,0,0,0,0,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,37,276.0,396.0,388.0,340.0,337.0,331.0,331.0,318.0,67.61656601750789,326.14285714285717,51.382320472540655,350.57142857142856,56.775826770682094,358.42857142857144,56.0040814839164,96.0,133.0,137.0,161.0,43.0,46.0
2023-02-08,290,106,45,139,2,2,6,8,0,0,0,0,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,38,282.0,276.0,396.0,295.0,358.0,343.0,317.0,282.6666666666667,7.0237691685687444,325.42857142857144,51.91935137902881,345.7142857142857,58.958171054281614,355.9047619047619,57.89637705582692,105.0,89.0,135.0,144.0,42.0,62.0
2023-02-09,188,72,33,83,3,2,6,9,0,0,0,0,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,39,290.0,282.0,276.0,294.0,344.0,363.0,314.0,253.33333333333334,56.72154205708214,310.2857142857143,73.56111809399117,334.57142857142856,72.49478950582933,347.57142857142856,68.4555121437065,106.0,112.0,139.0,130.0,45.0,52.0
2023-02-10,297,112,53,132,4,2,6,10,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,40,188.0,290.0,282.0,352.0,354.0,343.0,341.0,258.3333333333333,61.01092798288958,302.42857142857144,71.26443045179741,330.5,72.91908054612527,345.3809523809524,69.33936558007741,72.0,128.0,83.0,162.0,33.0,62.0
2023-02-11,326,130,74,122,5,2,6,11,1,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,41,297.0,188.0,290.0,388.0,462.0,445.0,425.0,270.3333333333333,72.76216965795714,293.57142857142856,62.12314958440002,320.7857142857143,62.34541321902155,339.7142857142857,65.55008989859809,112.0,178.0,132.0,148.0,53.0,62.0
2023-02-12,377,143,72,162,6,2,6,12,1,0,0,0,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,42,326.0,297.0,188.0,396.0,443.0,461.0,578.0,333.3333333333333,40.50102879351759,290.85714285714283,57.11517186477586,316.07142857142856,54.379668550372294,335.7142857142857,60.11667227744971,130.0,159.0,122.0,162.0,74.0,75.0
2023-02-13,286,103,55,128,0,2,7,13,0,0,0,0,0.0,1.0,0.8660254037844386,0.5000000000000001,43,377.0,326.0,297.0,276.0,324.0,327.0,356.0,329.6666666666667,45.61067126598053,292.2857142857143,56.805851475924456,313.35714285714283,54.89935847020035,333.76190476190476,61.07201057923737,143.0,96.0,162.0,137.0,72.0,43.0
2023-02-14,279,111,47,121,1,2,7,14,0,0,0,0,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,44,286.0,377.0,326.0,282.0,340.0,337.0,331.0,314.0,54.67174773134666,291.85714285714283,56.907611006579934,309.0,55.04264081321231,331.0,62.218968168879215,103.0,105.0,128.0,135.0,55.0,42.0
2023-02-15,295,109,49,137,2,2,7,15,0,0,0,0,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,45,279.0,286.0,377.0,290.0,295.0,358.0,343.0,286.6666666666667,8.020806277011175,292.57142857142856,56.911794743729594,309.0,55.04264081321231,328.0,62.37066618210844,111.0,106.0,121.0,139.0,47.0,45.0
2023-02-16,280,114,43,123,3,2,7,16,0,0,0,0,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,46,295.0,279.0,286.0,188.0,294.0,344.0,363.0,284.6666666666667,8.96288643983298,305.7142857142857,35.23120910837606,308.0,55.46169849544817,324.95238095238096,63.10901377020262,109.0,72.0,137.0,83.0,49.0,33.0
2023-02-17,289,111,57,121,4,2,7,17,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,47,280.0,295.0,279.0,297.0,352.0,354.0,343.0,288.0,7.549834435271313,304.57142857142856,35.68779970268653,303.5,54.157533746824726,321.85714285714283,63.20702944632485,114.0,112.0,123.0,132.0,43.0,53.0
2023-02-18,378,158,67,153,5,2,7,18,1,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,48,289.0,280.0,295.0,326.0,388.0,462.0,445.0,315.6666666666667,54.16948710605761,312.0,45.07031543414532,302.7857142857143,53.011143344407465,317.85714285714283,56.15984839214381,111.0,130.0,121.0,122.0,57.0,74.0
2023-02-19,366,151,61,154,6,2,7,19,1,0,0,0,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,49,378.0,289.0,280.0,377.0,396.0,443.0,461.0,344.3333333333333,48.294237061303086,310.42857142857144,42.54745250054037,300.64285714285717,49.439329007858206,314.1904761904762,49.72586756168172,158.0,143.0,153.0,162.0,67.0,72.0
2023-02-20,290,101,64,125,0,2,8,20,0,0,0,0,0.0,1.0,0.8660254037844386,0.5000000000000001,50,366.0,378.0,289.0,286.0,276.0,324.0,327.0,344.6666666666667,47.721413781795505,311.0,42.19004621945827,301.64285714285717,49.042535922098544,312.57142857142856,49.94353955074818,151.0,103.0,154.0,128.0,61.0,55.0
2023-02-21,294,122,46,126,1,2,8,21,0,0,0,0,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,51,290.0,366.0,378.0,279.0,282.0,340.0,337.0,316.6666666666667,42.77070648625462,313.14285714285717,40.64656021292431,302.5,48.776964929075945,310.3809523809524,49.688505904762565,101.0,111.0,125.0,121.0,64.0,47.0
2023-02-22,280,96,61,123,2,2,8,22,0,0,0,0,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,52,294.0,290.0,366.0,295.0,290.0,295.0,358.0,288.0,7.211102550928704,311.0,42.13074886588209,301.7857142857143,49.046569034601504,309.6666666666667,50.02732586630369,122.0,109.0,126.0,137.0,46.0,49.0
2023-02-23,290,84,49,157,3,2,8,23,0,0,0,0,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,53,280.0,294.0,290.0,280.0,188.0,294.0,344.0,288.0,7.211102550928704,312.42857142857144,41.06035047283943,309.07142857142856,36.92083898895513,309.4761904761905,50.09752393843342,96.0,114.0,123.0,123.0,61.0,43.0
2023-02-24,280,108,52,120,4,2,8,24,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,54,290.0,280.0,294.0,289.0,297.0,352.0,354.0,283.3333333333333,5.77350269189716,311.14285714285717,42.04532701513391,307.85714285714283,37.62130563075443,306.04761904761904,49.5019961117491,84.0,111.0,157.0,121.0,49.0,57.0
2023-02-25,349,147,77,125,5,2,8,25,1,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,55,280.0,290.0,280.0,378.0,326.0,388.0,462.0,306.3333333333333,37.28717384481351,307.0,35.237290853110345,309.5,38.95312765165528,304.1904761904762,46.93891674039686,108.0,158.0,120.0,153.0,52.0,67.0
2023-02-26,364,127,74,163,6,2,8,26,1,0,0,0,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,56,349.0,280.0,290.0,366.0,377.0,396.0,443.0,331.0,44.79955356920436,306.7142857142857,34.68291743646704,308.57142857142856,37.341901162334786,302.6666666666667,44.2519302780493,147.0,151.0,125.0,154.0,77.0,61.0
